date,months_supply,closed-sales,median-price,homes-for-sale,average-price
2017-01-01,8.07,265,103,1374,118
2017-02-01,6.85,320,102,1414,122
2017-03-01,4.9,453,105,1397,120
2017-04-01,5.22,422,108,1381,123
2017-05-01,4.15,534,107,1351,124
2017-06-01,4.3,517,112,1338,130
2017-07-01,4.82,450,110,1281,119
2017-08-01,4.64,463,111,1264,124
2017-09-01,5.61,365,111,1244,121
2017-10-01,5.45,380,105,1251,119
2017-11-01,5.36,377,106,1221,120
2017-12-01,4.75,405,109,1196,122
2018-01-01,6.99,280,106,1247,125
2018-02-01,6.93,297,110,1327,125
2018-03-01,4.8,442,115,1390,137
2018-04-01,4.49,484,115,1402,131
2018-05-01,4.32,511,112,1416,132
2018-06-01,3.68,573,114,1313,132
2018-07-01,4.31,482,113,1281,127
2018-08-01,4.03,507,115,1243,131
2018-09-01,4.73,416,113,1217,125
2018-10-01,5.31,385,115,1282,136
2018-11-01,5.57,367,116,1285,131
2018-12-01,5.67,344,111,1279,124
2019-01-01,6.36,313,108,1327,123
2019-02-01,6.0,337,113,1371,123
2019-03-01,4.48,461,113,1404,133
2019-04-01,4.29,492,119,1426,135
2019-05-01,3.9,544,121,1436,143
2019-06-01,3.91,524,117,1415,130
2019-07-01,4.13,500,118,1440,133
2019-08-01,4.11,494,122,1476,140
2019-09-01,5.4,377,121,1534,138
2019-10-01,4.97,406,118,1617,133
2019-11-01,4.78,407,116,1665,134
2019-12-01,4.23,428,119,1633,136
2020-01-01,5.53,337,120,1798,136
2020-02-01,5.56,344,119,1860,135
2020-03-01,4.14,465,124,1846,141
2020-04-01,4.52,417,121,1790,136
2020-05-01,4.9,388,124,1841,136
2020-06-01,3.86,488,129,1796,145
2020-07-01,3.15,586,125,1742,142
2020-08-01,2.78,608,129,1614,150
2020-09-01,2.82,576,133,1539,161
2020-10-01,2.76,559,134,1496,155
2020-11-01,3.42,440,134,1430,153
2020-12-01,2.45,535,132,1252,151
2021-01-01,3.03,412,135,1209,158
2021-02-01,2.58,462,134,1170,156
2021-03-01,1.94,615,139,1199,164
2021-04-01,1.71,665,145,1197,167
2021-05-01,1.8,625,142,1255,164
2021-06-01,1.65,677,143,1282,171
2021-07-01,1.63,656,147,1321,170
2021-08-01,1.7,626,146,1342,168
2021-09-01,1.81,583,147,1401,168
2021-10-01,1.76,564,146,1422,169
2021-11-01,1.61,545,155,1362,184
2021-12-01,1.18,589,151,1270,176
2022-01-01,1.66,421,162,1329,180
2022-02-01,1.63,448,160,1414,183
2022-03-01,1.31,550,165,1492,189
2022-04-01,1.35,542,173,1614,196
2022-05-01,1.48,549,179,1806,209